<<<<<<< HEAD
1,Milica,Prezimenic,ZENSKI,1993-06-16,null,null,micika,lozinka123
2,Ana,Anic,MUSKI,2005-06-08,061548410,null,anabanana,lozinka123
3,Jovan,Jovic,MUSKI,1995-10-10,069404789,adresa,joca,lozinka123
4,Jelena,Petrovic,ZENSKI,2001-05-10,06156789,adresa,jecika,lozinka123
6,Jovana,Jovanic,ZENSKI,null,null,null,jovanica,loz123
=======
1,Milica,Prezimenic,null,null,null,null,micika,lozinka123
2,Ana,Anic,null,null,null,null,anabanana,lozinka123
3,Jovan,Jovic,MUSKI,1995-10-10,069404789,adresa,joca,lozinka123
4,Jelena,Petrovic,ZENSKI,2001-05-10,06156789,adresa,jecika,lozinka123
>>>>>>> e5a83006847e2c36fff78d44ebc6f7f1ee431116
